complaint_text,category,priority
Electric shock near charging point near washroom area,Safety,High
Emergency chain not working affecting passengers,Safety,High
Garbage not cleaned near seat during long distance travel,Cleanliness,Medium
Train delayed by 5 hours in sleeper coach,Delay,Medium
Food packaging is poor during long distance travel,Food,Low
Overpriced food items during night journey,Food,Low
Passenger injured due to sudden brake during long distance travel,Safety,High
Delay due to technical issue during night journey,Delay,Medium
Staff ignored passenger complaint in sleeper coach,Staff,Medium
Delay due to technical issue in AC coach,Delay,Medium
Dust and dirt inside coach during long distance travel,Cleanliness,Medium
Water leakage in washroom near washroom area,Cleanliness,Medium
Smoke inside coach causing panic in sleeper coach,Safety,High
Delay due to technical issue in sleeper coach,Delay,Medium
Staff behavior is rude during long distance travel,Staff,Medium
Dust and dirt inside coach in AC coach,Cleanliness,Medium
Fire accident in coach during long distance travel,Safety,High
Staff not helping passengers during night journey,Staff,Medium
Late arrival at destination in AC coach,Delay,Medium
Electric shock near charging point during long distance travel,Safety,High
Electric shock near charging point near washroom area,Safety,High
Ticket examiner not cooperative near washroom area,Staff,Medium
Train running behind schedule affecting passengers,Delay,Medium
Dirty washroom in coach,Cleanliness,Medium
Train delayed by 5 hours,Delay,Medium
Food not hygienic in AC coach,Food,Low
Water leakage in washroom during night journey,Cleanliness,Medium
Food packaging is poor in sleeper coach,Food,Low
Stale food served,Food,Low
Electric shock near charging point,Safety,High
Smoke inside coach causing panic affecting passengers,Safety,High
Food quality is very bad in AC coach,Food,Low
Smoke inside coach causing panic affecting passengers,Safety,High
Food not hygienic affecting passengers,Food,Low
Dust and dirt inside coach,Cleanliness,Medium
Garbage not cleaned near seat in AC coach,Cleanliness,Medium
Garbage not cleaned near seat near washroom area,Cleanliness,Medium
No food available in pantry affecting passengers,Food,Low
Train delayed by 5 hours,Delay,Medium
Fire accident in coach during long distance travel,Safety,High
Train stopped between stations during night journey,Delay,Medium
Train delayed by 5 hours during night journey,Delay,Medium
Train delayed by 5 hours affecting passengers,Delay,Medium
Dirty washroom in coach in sleeper coach,Cleanliness,Medium
Electric shock near charging point during night journey,Safety,High
Late arrival at destination affecting passengers,Delay,Medium
Food quality is very bad near washroom area,Food,Low
Staff behavior is rude near washroom area,Staff,Medium
Food not hygienic in sleeper coach,Food,Low
Food packaging is poor affecting passengers,Food,Low
Food not hygienic near washroom area,Food,Low
Late arrival at destination,Delay,Medium
Garbage not cleaned near seat during long distance travel,Cleanliness,Medium
Coach floor is dirty affecting passengers,Cleanliness,Medium
Train running behind schedule in AC coach,Delay,Medium
Passenger injured due to sudden brake during night journey,Safety,High
Smoke inside coach causing panic,Safety,High
No food available in pantry near washroom area,Food,Low
Staff ignored passenger complaint near washroom area,Staff,Medium
Smoke inside coach causing panic,Safety,High
Passenger injured due to sudden brake near washroom area,Safety,High
Unprofessional staff behavior during night journey,Staff,Medium
Train running behind schedule affecting passengers,Delay,Medium
Washroom door broken and dirty during long distance travel,Cleanliness,Medium
Food not hygienic in AC coach,Food,Low
Garbage not cleaned near seat in AC coach,Cleanliness,Medium
Staff behavior is rude near washroom area,Staff,Medium
Toilet smells very bad in sleeper coach,Cleanliness,Medium
Food not hygienic during long distance travel,Food,Low
Staff not helping passengers in sleeper coach,Staff,Medium
Staff ignored passenger complaint during night journey,Staff,Medium
Train delayed by 5 hours,Delay,Medium
Staff behavior is rude,Staff,Medium
Passenger injured due to sudden brake,Safety,High
Washroom door broken and dirty in AC coach,Cleanliness,Medium
No response from railway staff affecting passengers,Staff,Medium
Staff not helping passengers in AC coach,Staff,Medium
Train delayed by 5 hours affecting passengers,Delay,Medium
Unprofessional staff behavior near washroom area,Staff,Medium
Stale food served,Food,Low
Fire accident in coach near washroom area,Safety,High
Overpriced food items near washroom area,Food,Low
Door broken and unsafe near washroom area,Safety,High
Toilet smells very bad affecting passengers,Cleanliness,Medium
Train stopped between stations during long distance travel,Delay,Medium
Food quality is very bad during night journey,Food,Low
Water leakage in washroom,Cleanliness,Medium
Unexpected halt for long time near washroom area,Delay,Medium
Toilet smells very bad affecting passengers,Cleanliness,Medium
Food quality is very bad,Food,Low
Food packaging is poor,Food,Low
Food not hygienic in sleeper coach,Food,Low
Unprofessional staff behavior during long distance travel,Staff,Medium
Passenger injured due to sudden brake in sleeper coach,Safety,High
Food packaging is poor during long distance travel,Food,Low
Smoke inside coach causing panic,Safety,High
Toilet smells very bad during long distance travel,Cleanliness,Medium
Train running behind schedule near washroom area,Delay,Medium
Toilet smells very bad affecting passengers,Cleanliness,Medium
Staff ignored passenger complaint,Staff,Medium
Delay due to technical issue near washroom area,Delay,Medium
Fire accident in coach in AC coach,Safety,High
Ticket examiner not cooperative in sleeper coach,Staff,Medium
Stale food served during long distance travel,Food,Low
Coach floor is dirty affecting passengers,Cleanliness,Medium
Garbage not cleaned near seat affecting passengers,Cleanliness,Medium
Staff behavior is rude,Staff,Medium
Garbage not cleaned near seat,Cleanliness,Medium
Train running behind schedule in AC coach,Delay,Medium
Overpriced food items during long distance travel,Food,Low
Coach floor is dirty during long distance travel,Cleanliness,Medium
Late arrival at destination in sleeper coach,Delay,Medium
Food not hygienic affecting passengers,Food,Low
Electric shock near charging point during long distance travel,Safety,High
Coach floor is dirty in sleeper coach,Cleanliness,Medium
Coach floor is dirty affecting passengers,Cleanliness,Medium
Garbage not cleaned near seat during night journey,Cleanliness,Medium
Staff behavior is rude in AC coach,Staff,Medium
Water leakage in washroom during long distance travel,Cleanliness,Medium
Electric shock near charging point in sleeper coach,Safety,High
Coach floor is dirty in AC coach,Cleanliness,Medium
Toilet smells very bad during night journey,Cleanliness,Medium
Emergency chain not working during long distance travel,Safety,High
Smoke inside coach causing panic near washroom area,Safety,High
Food not hygienic in sleeper coach,Food,Low
Staff not helping passengers during long distance travel,Staff,Medium
Food packaging is poor near washroom area,Food,Low
Overpriced food items,Food,Low
Train delayed by 5 hours during night journey,Delay,Medium
No response from railway staff affecting passengers,Staff,Medium
Toilet smells very bad,Cleanliness,Medium
Train stopped between stations affecting passengers,Delay,Medium
Fire accident in coach during night journey,Safety,High
Ticket examiner not cooperative in AC coach,Staff,Medium
Train delayed by 5 hours during night journey,Delay,Medium
Fire accident in coach,Safety,High
No food available in pantry in AC coach,Food,Low
Door broken and unsafe affecting passengers,Safety,High
Coach floor is dirty,Cleanliness,Medium
Ticket examiner not cooperative affecting passengers,Staff,Medium
Train delayed by 5 hours near washroom area,Delay,Medium
Staff behavior is rude in AC coach,Staff,Medium
Overpriced food items in sleeper coach,Food,Low
Electric shock near charging point during long distance travel,Safety,High
Train stopped between stations during long distance travel,Delay,Medium
Electric shock near charging point in AC coach,Safety,High
Passenger injured due to sudden brake,Safety,High
Overpriced food items during long distance travel,Food,Low
Staff behavior is rude during night journey,Staff,Medium
Garbage not cleaned near seat in AC coach,Cleanliness,Medium
Train running behind schedule in AC coach,Delay,Medium
Coach floor is dirty in sleeper coach,Cleanliness,Medium
Food not hygienic in sleeper coach,Food,Low
Train running behind schedule during long distance travel,Delay,Medium
Dirty washroom in coach during night journey,Cleanliness,Medium
Smoke inside coach causing panic affecting passengers,Safety,High
Staff behavior is rude during night journey,Staff,Medium
Passenger injured due to sudden brake,Safety,High
Stale food served in AC coach,Food,Low
Staff behavior is rude affecting passengers,Staff,Medium
Electric shock near charging point during long distance travel,Safety,High
Food quality is very bad in AC coach,Food,Low
Unexpected halt for long time affecting passengers,Delay,Medium
Ticket examiner not cooperative,Staff,Medium
Train delayed by 5 hours during long distance travel,Delay,Medium
Food quality is very bad,Food,Low
Washroom door broken and dirty during long distance travel,Cleanliness,Medium
Overpriced food items during night journey,Food,Low
Train running behind schedule affecting passengers,Delay,Medium
Coach floor is dirty near washroom area,Cleanliness,Medium
Fire accident in coach,Safety,High
Garbage not cleaned near seat affecting passengers,Cleanliness,Medium
Late arrival at destination,Delay,Medium
Fire accident in coach,Safety,High
Train delayed by 5 hours during night journey,Delay,Medium
Staff not helping passengers during long distance travel,Staff,Medium
Delay due to technical issue,Delay,Medium
Train stopped between stations in AC coach,Delay,Medium
Stale food served during night journey,Food,Low
Stale food served in sleeper coach,Food,Low
Late arrival at destination,Delay,Medium
Unprofessional staff behavior near washroom area,Staff,Medium
Food packaging is poor in sleeper coach,Food,Low
Delay due to technical issue near washroom area,Delay,Medium
Train delayed by 5 hours,Delay,Medium
Door broken and unsafe during night journey,Safety,High
Late arrival at destination affecting passengers,Delay,Medium
Ticket examiner not cooperative affecting passengers,Staff,Medium
Staff behavior is rude in AC coach,Staff,Medium
Door broken and unsafe near washroom area,Safety,High
Train running behind schedule near washroom area,Delay,Medium
No response from railway staff in AC coach,Staff,Medium
Passenger injured due to sudden brake,Safety,High
Emergency chain not working during night journey,Safety,High
Washroom door broken and dirty during long distance travel,Cleanliness,Medium
Fire accident in coach during long distance travel,Safety,High
Unexpected halt for long time in sleeper coach,Delay,Medium
Ticket examiner not cooperative during night journey,Staff,Medium
Garbage not cleaned near seat affecting passengers,Cleanliness,Medium
Stale food served near washroom area,Food,Low
Washroom door broken and dirty during night journey,Cleanliness,Medium
Staff not helping passengers in sleeper coach,Staff,Medium
Overpriced food items during night journey,Food,Low
No response from railway staff during long distance travel,Staff,Medium
Emergency chain not working,Safety,High
Emergency chain not working near washroom area,Safety,High
No food available in pantry during night journey,Food,Low
Unexpected halt for long time in sleeper coach,Delay,Medium
Food not hygienic,Food,Low
Dirty washroom in coach during night journey,Cleanliness,Medium
Ticket examiner not cooperative,Staff,Medium
Staff not helping passengers,Staff,Medium
Emergency chain not working during night journey,Safety,High
Stale food served affecting passengers,Food,Low
Stale food served,Food,Low
Garbage not cleaned near seat near washroom area,Cleanliness,Medium
Food quality is very bad during long distance travel,Food,Low
No response from railway staff,Staff,Medium
Smoke inside coach causing panic affecting passengers,Safety,High
Unexpected halt for long time,Delay,Medium
Electric shock near charging point in sleeper coach,Safety,High
Overpriced food items affecting passengers,Food,Low
Train stopped between stations in AC coach,Delay,Medium
Passenger injured due to sudden brake affecting passengers,Safety,High
Staff ignored passenger complaint near washroom area,Staff,Medium
Passenger injured due to sudden brake affecting passengers,Safety,High
Ticket examiner not cooperative in AC coach,Staff,Medium
Smoke inside coach causing panic affecting passengers,Safety,High
Passenger injured due to sudden brake during night journey,Safety,High
Dust and dirt inside coach near washroom area,Cleanliness,Medium
Unexpected halt for long time,Delay,Medium
No food available in pantry in sleeper coach,Food,Low
Ticket examiner not cooperative affecting passengers,Staff,Medium
Staff behavior is rude in AC coach,Staff,Medium
Stale food served affecting passengers,Food,Low
Garbage not cleaned near seat in sleeper coach,Cleanliness,Medium
Passenger injured due to sudden brake affecting passengers,Safety,High
Washroom door broken and dirty affecting passengers,Cleanliness,Medium
Door broken and unsafe,Safety,High
Passenger injured due to sudden brake during night journey,Safety,High
Toilet smells very bad in sleeper coach,Cleanliness,Medium
Dust and dirt inside coach,Cleanliness,Medium
Water leakage in washroom in AC coach,Cleanliness,Medium
Late arrival at destination in AC coach,Delay,Medium
Delay due to technical issue in sleeper coach,Delay,Medium
Staff not helping passengers,Staff,Medium
Unexpected halt for long time affecting passengers,Delay,Medium
Overpriced food items in AC coach,Food,Low
Washroom door broken and dirty during long distance travel,Cleanliness,Medium
Toilet smells very bad,Cleanliness,Medium
Electric shock near charging point,Safety,High
Toilet smells very bad during night journey,Cleanliness,Medium
Late arrival at destination affecting passengers,Delay,Medium
Coach floor is dirty,Cleanliness,Medium
Emergency chain not working near washroom area,Safety,High
Train stopped between stations,Delay,Medium
Train stopped between stations during night journey,Delay,Medium
Staff not helping passengers during night journey,Staff,Medium
Dirty washroom in coach in sleeper coach,Cleanliness,Medium
Overpriced food items in AC coach,Food,Low
Staff ignored passenger complaint affecting passengers,Staff,Medium
No response from railway staff affecting passengers,Staff,Medium
Electric shock near charging point during night journey,Safety,High
Dirty washroom in coach in AC coach,Cleanliness,Medium
Unprofessional staff behavior during long distance travel,Staff,Medium
Late arrival at destination,Delay,Medium
Fire accident in coach in AC coach,Safety,High
Toilet smells very bad during long distance travel,Cleanliness,Medium
Staff not helping passengers during night journey,Staff,Medium
Dirty washroom in coach during night journey,Cleanliness,Medium
Food packaging is poor in sleeper coach,Food,Low
Water leakage in washroom during long distance travel,Cleanliness,Medium
Toilet smells very bad during long distance travel,Cleanliness,Medium
Delay due to technical issue in AC coach,Delay,Medium
Fire accident in coach affecting passengers,Safety,High
Staff not helping passengers during night journey,Staff,Medium
Door broken and unsafe in sleeper coach,Safety,High
Food not hygienic,Food,Low
Door broken and unsafe in AC coach,Safety,High
Passenger injured due to sudden brake during long distance travel,Safety,High
Emergency chain not working,Safety,High
Food packaging is poor affecting passengers,Food,Low
Dirty washroom in coach affecting passengers,Cleanliness,Medium
Emergency chain not working in AC coach,Safety,High
Ticket examiner not cooperative near washroom area,Staff,Medium
Washroom door broken and dirty in AC coach,Cleanliness,Medium
Staff not helping passengers near washroom area,Staff,Medium
Unexpected halt for long time during night journey,Delay,Medium
Train running behind schedule,Delay,Medium
Train stopped between stations,Delay,Medium
Unprofessional staff behavior near washroom area,Staff,Medium
Staff ignored passenger complaint near washroom area,Staff,Medium
Food quality is very bad during long distance travel,Food,Low
Late arrival at destination during night journey,Delay,Medium
Overpriced food items during night journey,Food,Low
Water leakage in washroom,Cleanliness,Medium
Late arrival at destination during long distance travel,Delay,Medium
No food available in pantry in sleeper coach,Food,Low
Smoke inside coach causing panic during long distance travel,Safety,High
Dirty washroom in coach in AC coach,Cleanliness,Medium
Staff not helping passengers near washroom area,Staff,Medium
Electric shock near charging point near washroom area,Safety,High
Train delayed by 5 hours during long distance travel,Delay,Medium
Unprofessional staff behavior near washroom area,Staff,Medium
Train delayed by 5 hours in AC coach,Delay,Medium
Overpriced food items near washroom area,Food,Low
Unprofessional staff behavior during long distance travel,Staff,Medium
Dirty washroom in coach near washroom area,Cleanliness,Medium
Washroom door broken and dirty in sleeper coach,Cleanliness,Medium
No response from railway staff in AC coach,Staff,Medium
Door broken and unsafe affecting passengers,Safety,High
Unexpected halt for long time near washroom area,Delay,Medium
Train delayed by 5 hours during night journey,Delay,Medium
Door broken and unsafe during night journey,Safety,High
Unprofessional staff behavior affecting passengers,Staff,Medium
Train delayed by 5 hours in AC coach,Delay,Medium
Smoke inside coach causing panic during night journey,Safety,High
Dust and dirt inside coach in AC coach,Cleanliness,Medium
Electric shock near charging point,Safety,High
Electric shock near charging point in sleeper coach,Safety,High
Door broken and unsafe during long distance travel,Safety,High
Washroom door broken and dirty during night journey,Cleanliness,Medium
Stale food served affecting passengers,Food,Low
Train running behind schedule in sleeper coach,Delay,Medium
Unexpected halt for long time affecting passengers,Delay,Medium
Garbage not cleaned near seat in AC coach,Cleanliness,Medium
Food not hygienic affecting passengers,Food,Low
Unexpected halt for long time during long distance travel,Delay,Medium
Fire accident in coach near washroom area,Safety,High
Food quality is very bad in sleeper coach,Food,Low
Staff not helping passengers during night journey,Staff,Medium
Unprofessional staff behavior,Staff,Medium
Overpriced food items during long distance travel,Food,Low
Food quality is very bad during night journey,Food,Low
Water leakage in washroom,Cleanliness,Medium
Smoke inside coach causing panic during night journey,Safety,High
Electric shock near charging point during long distance travel,Safety,High
Unexpected halt for long time in AC coach,Delay,Medium
Dust and dirt inside coach,Cleanliness,Medium
Stale food served in AC coach,Food,Low
Staff not helping passengers during night journey,Staff,Medium
Unexpected halt for long time near washroom area,Delay,Medium
Electric shock near charging point during night journey,Safety,High
Smoke inside coach causing panic during long distance travel,Safety,High
Toilet smells very bad,Cleanliness,Medium
Train delayed by 5 hours during night journey,Delay,Medium
Ticket examiner not cooperative during long distance travel,Staff,Medium
Food packaging is poor during night journey,Food,Low
Stale food served affecting passengers,Food,Low
Unexpected halt for long time,Delay,Medium
Water leakage in washroom during night journey,Cleanliness,Medium
No food available in pantry during long distance travel,Food,Low
Garbage not cleaned near seat in sleeper coach,Cleanliness,Medium
No response from railway staff affecting passengers,Staff,Medium
Door broken and unsafe in AC coach,Safety,High
Door broken and unsafe in sleeper coach,Safety,High
Food not hygienic in sleeper coach,Food,Low
Unprofessional staff behavior in AC coach,Staff,Medium
Staff behavior is rude,Staff,Medium
Staff ignored passenger complaint during long distance travel,Staff,Medium
Emergency chain not working affecting passengers,Safety,High
Unprofessional staff behavior in sleeper coach,Staff,Medium
Smoke inside coach causing panic,Safety,High
Train delayed by 5 hours in sleeper coach,Delay,Medium
Smoke inside coach causing panic in sleeper coach,Safety,High
Electric shock near charging point affecting passengers,Safety,High
Passenger injured due to sudden brake during night journey,Safety,High
Ticket examiner not cooperative,Staff,Medium
Staff not helping passengers affecting passengers,Staff,Medium
Smoke inside coach causing panic during night journey,Safety,High
Dust and dirt inside coach in AC coach,Cleanliness,Medium
Electric shock near charging point in AC coach,Safety,High
Delay due to technical issue affecting passengers,Delay,Medium
Coach floor is dirty affecting passengers,Cleanliness,Medium
Ticket examiner not cooperative in sleeper coach,Staff,Medium
Food packaging is poor near washroom area,Food,Low
Train stopped between stations in sleeper coach,Delay,Medium
No response from railway staff during long distance travel,Staff,Medium
Food packaging is poor near washroom area,Food,Low
Stale food served,Food,Low
Late arrival at destination affecting passengers,Delay,Medium
Smoke inside coach causing panic during long distance travel,Safety,High
Ticket examiner not cooperative affecting passengers,Staff,Medium
Smoke inside coach causing panic,Safety,High
Stale food served during night journey,Food,Low
Door broken and unsafe during long distance travel,Safety,High
Electric shock near charging point in sleeper coach,Safety,High
No response from railway staff in AC coach,Staff,Medium
Water leakage in washroom,Cleanliness,Medium
Unprofessional staff behavior near washroom area,Staff,Medium
Water leakage in washroom during night journey,Cleanliness,Medium
Staff behavior is rude during long distance travel,Staff,Medium
Unexpected halt for long time in sleeper coach,Delay,Medium
Train delayed by 5 hours during long distance travel,Delay,Medium
Overpriced food items during night journey,Food,Low
Door broken and unsafe near washroom area,Safety,High
Late arrival at destination in sleeper coach,Delay,Medium
Food quality is very bad in AC coach,Food,Low
Smoke inside coach causing panic during night journey,Safety,High
Smoke inside coach causing panic,Safety,High
Water leakage in washroom in sleeper coach,Cleanliness,Medium
Overpriced food items near washroom area,Food,Low
Food not hygienic during long distance travel,Food,Low
Garbage not cleaned near seat near washroom area,Cleanliness,Medium
Train stopped between stations in AC coach,Delay,Medium
Delay due to technical issue in AC coach,Delay,Medium
Train delayed by 5 hours,Delay,Medium
Ticket examiner not cooperative affecting passengers,Staff,Medium
Fire accident in coach in sleeper coach,Safety,High
Ticket examiner not cooperative,Staff,Medium
Dust and dirt inside coach affecting passengers,Cleanliness,Medium
Overpriced food items affecting passengers,Food,Low
Electric shock near charging point during night journey,Safety,High
Water leakage in washroom near washroom area,Cleanliness,Medium
No response from railway staff during night journey,Staff,Medium
Washroom door broken and dirty,Cleanliness,Medium
Electric shock near charging point in AC coach,Safety,High
Unprofessional staff behavior near washroom area,Staff,Medium
Door broken and unsafe affecting passengers,Safety,High
Stale food served in AC coach,Food,Low
Passenger injured due to sudden brake during night journey,Safety,High
Train delayed by 5 hours during night journey,Delay,Medium
Food packaging is poor during night journey,Food,Low
Food packaging is poor,Food,Low
Unprofessional staff behavior during night journey,Staff,Medium
Toilet smells very bad affecting passengers,Cleanliness,Medium
Water leakage in washroom affecting passengers,Cleanliness,Medium
Emergency chain not working near washroom area,Safety,High
Coach floor is dirty,Cleanliness,Medium
Dust and dirt inside coach during long distance travel,Cleanliness,Medium
Dirty washroom in coach affecting passengers,Cleanliness,Medium
Water leakage in washroom in AC coach,Cleanliness,Medium
Train delayed by 5 hours near washroom area,Delay,Medium
Door broken and unsafe affecting passengers,Safety,High
Overpriced food items affecting passengers,Food,Low
Toilet smells very bad in AC coach,Cleanliness,Medium
Dust and dirt inside coach near washroom area,Cleanliness,Medium
Emergency chain not working near washroom area,Safety,High
Food not hygienic during long distance travel,Food,Low
Coach floor is dirty affecting passengers,Cleanliness,Medium
Staff behavior is rude in sleeper coach,Staff,Medium
Washroom door broken and dirty,Cleanliness,Medium
Late arrival at destination near washroom area,Delay,Medium
Stale food served during long distance travel,Food,Low
Ticket examiner not cooperative in sleeper coach,Staff,Medium
Train running behind schedule during night journey,Delay,Medium
Coach floor is dirty in AC coach,Cleanliness,Medium
Food packaging is poor in AC coach,Food,Low
Passenger injured due to sudden brake,Safety,High
Dust and dirt inside coach,Cleanliness,Medium
Washroom door broken and dirty near washroom area,Cleanliness,Medium
Late arrival at destination,Delay,Medium
Staff behavior is rude affecting passengers,Staff,Medium
Toilet smells very bad affecting passengers,Cleanliness,Medium
Food not hygienic in sleeper coach,Food,Low
Door broken and unsafe,Safety,High
Washroom door broken and dirty during night journey,Cleanliness,Medium
Washroom door broken and dirty in sleeper coach,Cleanliness,Medium
Smoke inside coach causing panic in sleeper coach,Safety,High
Train stopped between stations,Delay,Medium
Washroom door broken and dirty during long distance travel,Cleanliness,Medium
Dirty washroom in coach during long distance travel,Cleanliness,Medium
Food packaging is poor affecting passengers,Food,Low
Stale food served in sleeper coach,Food,Low
Unexpected halt for long time in sleeper coach,Delay,Medium
Toilet smells very bad during long distance travel,Cleanliness,Medium
Passenger injured due to sudden brake,Safety,High
Delay due to technical issue in AC coach,Delay,Medium
Door broken and unsafe affecting passengers,Safety,High
Delay due to technical issue affecting passengers,Delay,Medium
Food quality is very bad during night journey,Food,Low
Washroom door broken and dirty during night journey,Cleanliness,Medium
Water leakage in washroom near washroom area,Cleanliness,Medium
Unexpected halt for long time affecting passengers,Delay,Medium
Late arrival at destination near washroom area,Delay,Medium
Train running behind schedule near washroom area,Delay,Medium
Washroom door broken and dirty affecting passengers,Cleanliness,Medium
Food not hygienic in AC coach,Food,Low
Water leakage in washroom in AC coach,Cleanliness,Medium
Dirty washroom in coach in sleeper coach,Cleanliness,Medium
Fire accident in coach affecting passengers,Safety,High
Staff ignored passenger complaint near washroom area,Staff,Medium
Ticket examiner not cooperative affecting passengers,Staff,Medium
Emergency chain not working near washroom area,Safety,High
Staff behavior is rude in AC coach,Staff,Medium
Food not hygienic in sleeper coach,Food,Low
Late arrival at destination during long distance travel,Delay,Medium
Unprofessional staff behavior,Staff,Medium
Dust and dirt inside coach during night journey,Cleanliness,Medium
Staff not helping passengers during long distance travel,Staff,Medium
Late arrival at destination,Delay,Medium
Train running behind schedule during night journey,Delay,Medium
Electric shock near charging point,Safety,High
Ticket examiner not cooperative near washroom area,Staff,Medium
Delay due to technical issue during long distance travel,Delay,Medium
Food quality is very bad in AC coach,Food,Low
Unexpected halt for long time in AC coach,Delay,Medium
Washroom door broken and dirty in AC coach,Cleanliness,Medium
Train running behind schedule,Delay,Medium
Train stopped between stations affecting passengers,Delay,Medium
Dirty washroom in coach in AC coach,Cleanliness,Medium
Train delayed by 5 hours near washroom area,Delay,Medium
Staff behavior is rude during long distance travel,Staff,Medium
Washroom door broken and dirty near washroom area,Cleanliness,Medium
Staff ignored passenger complaint in sleeper coach,Staff,Medium
Unprofessional staff behavior during night journey,Staff,Medium
Train running behind schedule in sleeper coach,Delay,Medium
Washroom door broken and dirty during night journey,Cleanliness,Medium
Train running behind schedule near washroom area,Delay,Medium
Unprofessional staff behavior in AC coach,Staff,Medium
Smoke inside coach causing panic in AC coach,Safety,High
Dirty washroom in coach during long distance travel,Cleanliness,Medium
Food quality is very bad in sleeper coach,Food,Low
Smoke inside coach causing panic during long distance travel,Safety,High
Emergency chain not working near washroom area,Safety,High
Smoke inside coach causing panic,Safety,High
Garbage not cleaned near seat in AC coach,Cleanliness,Medium
Food packaging is poor affecting passengers,Food,Low
Train delayed by 5 hours in sleeper coach,Delay,Medium
Ticket examiner not cooperative during night journey,Staff,Medium
Washroom door broken and dirty in AC coach,Cleanliness,Medium
Food not hygienic during long distance travel,Food,Low
Food packaging is poor in sleeper coach,Food,Low
Washroom door broken and dirty in AC coach,Cleanliness,Medium
Dust and dirt inside coach during long distance travel,Cleanliness,Medium
Staff behavior is rude during long distance travel,Staff,Medium
Delay due to technical issue affecting passengers,Delay,Medium
Unprofessional staff behavior during night journey,Staff,Medium
Train delayed by 5 hours near washroom area,Delay,Medium
Coach floor is dirty in AC coach,Cleanliness,Medium
Staff not helping passengers near washroom area,Staff,Medium
Food packaging is poor near washroom area,Food,Low
Food packaging is poor during long distance travel,Food,Low
Food quality is very bad in AC coach,Food,Low
Unprofessional staff behavior in sleeper coach,Staff,Medium
Staff not helping passengers in AC coach,Staff,Medium
Staff ignored passenger complaint during long distance travel,Staff,Medium
Stale food served in AC coach,Food,Low
Electric shock near charging point in AC coach,Safety,High
Overpriced food items in AC coach,Food,Low
Staff ignored passenger complaint affecting passengers,Staff,Medium
No response from railway staff during long distance travel,Staff,Medium
No response from railway staff affecting passengers,Staff,Medium
Staff ignored passenger complaint during night journey,Staff,Medium
Overpriced food items near washroom area,Food,Low
Smoke inside coach causing panic in sleeper coach,Safety,High
Food packaging is poor affecting passengers,Food,Low
No food available in pantry near washroom area,Food,Low
Smoke inside coach causing panic,Safety,High
Emergency chain not working in AC coach,Safety,High
Unprofessional staff behavior affecting passengers,Staff,Medium
Train stopped between stations affecting passengers,Delay,Medium
No response from railway staff during long distance travel,Staff,Medium
Train delayed by 5 hours near washroom area,Delay,Medium
Dirty washroom in coach in AC coach,Cleanliness,Medium
Food quality is very bad affecting passengers,Food,Low
Garbage not cleaned near seat in sleeper coach,Cleanliness,Medium
Stale food served affecting passengers,Food,Low
Passenger injured due to sudden brake during long distance travel,Safety,High
Dust and dirt inside coach during long distance travel,Cleanliness,Medium
Passenger injured due to sudden brake during long distance travel,Safety,High
Staff behavior is rude in sleeper coach,Staff,Medium
Train delayed by 5 hours near washroom area,Delay,Medium
Ticket examiner not cooperative affecting passengers,Staff,Medium
Staff not helping passengers during night journey,Staff,Medium
Staff ignored passenger complaint in sleeper coach,Staff,Medium
Water leakage in washroom in AC coach,Cleanliness,Medium
Train stopped between stations in sleeper coach,Delay,Medium
Staff behavior is rude,Staff,Medium
Passenger injured due to sudden brake near washroom area,Safety,High
Late arrival at destination affecting passengers,Delay,Medium
Emergency chain not working near washroom area,Safety,High
Ticket examiner not cooperative during long distance travel,Staff,Medium
Stale food served in AC coach,Food,Low
Food packaging is poor,Food,Low
Overpriced food items affecting passengers,Food,Low
Staff behavior is rude in AC coach,Staff,Medium
Water leakage in washroom in sleeper coach,Cleanliness,Medium
No response from railway staff during night journey,Staff,Medium
No food available in pantry during long distance travel,Food,Low
Fire accident in coach in sleeper coach,Safety,High
Train stopped between stations during night journey,Delay,Medium
Garbage not cleaned near seat in sleeper coach,Cleanliness,Medium
Staff behavior is rude during long distance travel,Staff,Medium
Staff ignored passenger complaint in sleeper coach,Staff,Medium
Unexpected halt for long time near washroom area,Delay,Medium
Fire accident in coach during long distance travel,Safety,High
Emergency chain not working during night journey,Safety,High
No food available in pantry,Food,Low
Ticket examiner not cooperative in AC coach,Staff,Medium
Unprofessional staff behavior in AC coach,Staff,Medium
Toilet smells very bad during night journey,Cleanliness,Medium
Food packaging is poor in sleeper coach,Food,Low
Electric shock near charging point in sleeper coach,Safety,High
No food available in pantry near washroom area,Food,Low
Unexpected halt for long time during long distance travel,Delay,Medium
Dirty washroom in coach affecting passengers,Cleanliness,Medium
Door broken and unsafe during night journey,Safety,High
Unprofessional staff behavior during night journey,Staff,Medium
Dust and dirt inside coach in sleeper coach,Cleanliness,Medium
Train delayed by 5 hours in AC coach,Delay,Medium
Emergency chain not working affecting passengers,Safety,High
Fire accident in coach near washroom area,Safety,High
Emergency chain not working during long distance travel,Safety,High
Staff not helping passengers in AC coach,Staff,Medium
Toilet smells very bad affecting passengers,Cleanliness,Medium
Stale food served near washroom area,Food,Low
Dirty washroom in coach during night journey,Cleanliness,Medium
Unprofessional staff behavior,Staff,Medium
Garbage not cleaned near seat affecting passengers,Cleanliness,Medium
Food packaging is poor in AC coach,Food,Low
